rowNumber,safetyClass,recommendedEnrichmentAction,decisionNeeded,enrichmentTypes,roiGroup,provider,category,title,formats,bestMatchScore,targetEvidence,targetIds,detectedFamilies,siteFamiliesPresent,sourcePlacement,dPath,cleanedRecommendation,geographyRecommendation,refinedStatus
2,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",date/version metadata; download/source-file metadata; election geography/source provenance; geometry lineage and boundary-version metadata; geospatial source-format metadata; scale/generalisation/edition metadata; source/provenance metadata,2. Irish election source/enrichment data,[local source path withheld],standalone-spatial,ConstituencyBoundariesUngeneralised_National_Electoral_Boundaries_2023_-2568859868331602633,GEOJSON,0.50,browse-feature:deas-2012 (District Electoral Areas 2012; 0.50) | browse-map:wards-2022-final-recommendations (Wards - 2022 (Final Recommendations); 0.50) | database-map:wards-2022-final-recommendations (2022 (Final Recommendations); 0.33),browse-feature:deas-2012; browse-map:wards-2022-final-recommendations; database-map:wards-2022-final-recommendations,dail-constituencies;habitat-protected-sites,dail-constituencies;habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../ConstituencyBoundariesUngeneralised_National_Electoral_Boundaries_2023_-2568859868331602633.geojson,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Match by election kind, legislation/version, jurisdiction, and date; do not merge Dail/Westminster/Assembly geographies by name alone.","family already present; review as exact-or-variant, not automatically new"
3,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; download/source-file metadata; election geography/source provenance; geometry lineage and boundary-version metadata; geospatial source-format metadata; scale/generalisation/edition metadata; source/provenance metadata,4. Open Data NI boundary and statistical-geography files,Open Data NI,spatial,Boundary Commission for Northern Ireland - Provisional Proposals for Parliamentary Constituencies,GEOJSON|SHP,0.62,database-map:pc-2023 (Parliamentary Constituencies 2023; 0.62) | browse-map:pc-2023 (Parliamentary Constituencies 2023; 0.50) | database-map:osni-1m-parliamentary (OSNI 1:1M Thematic ? Parliamentary Boundaries; 0.38),database-map:pc-2023; browse-map:pc-2023; database-map:osni-1m-parliamentary,uk-parliamentary-constituencies;habitat-protected-sites,uk-parliamentary-constituencies;habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../bcni2018,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
4,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; scale/generalisation/edition metadata; source/provenance metadata,4. Open Data NI boundary and statistical-geography files,Open Data NI,spatial,Coastal Flood Boundary Extreme Sea Levels (2018) - NI Extract,SHP,0.64,database-map:rivers-coastal-flood-2018 (Coastal Flood Boundary ? Extreme Sea Levels (2018); 0.64) | browse-source:map-source:rivers-coastal-flood-2018 (Coastal Flood Boundary ? Extreme Sea Levels (2018) source files; 0.64) | browse-map:rivers-coastal-flood-2018 (Coastal Flood Boundary ? Extreme Sea Levels (2018); 0.64),database-map:rivers-coastal-flood-2018; browse-source:map-source:rivers-coastal-flood-2018; browse-map:rivers-coastal-flood-2018,rivers-water-flood;habitat-protected-sites,rivers-water-flood;habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../coastal-flood-boundary-extreme-sea-levels-2018-ni-extract-irish-grid-projection,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
5,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; scale/generalisation/edition metadata; source/provenance metadata,4. Open Data NI boundary and statistical-geography files,Open Data NI,spatial,Department of Health trust boundaries,GEOJSON|SHP,0.60,browse-feature:hsct-2007 (Health and Social Care Trusts 2007; 0.60) | database-map:habitat-grassland-grouped (Habitat Network ? Grassland Habitat Networks (grouped); 0.40) | database-map:habitat-woodland-grouped (Habitat Network ? Woodland Habitat Networks (grouped); 0.40),browse-feature:hsct-2007; database-map:habitat-grassland-grouped; database-map:habitat-woodland-grouped,habitat-protected-sites,habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../department-of-health-trust-boundaries,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
6,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; download/source-file metadata; election geography/source provenance; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,4. Open Data NI boundary and statistical-geography files,Open Data NI,spatial,Mid Ulster Council District Electoral Areas,CSV|GEOJSON|HTML|JSON|KML|SHP,0.62,browse-feature:deas-2012 (District Electoral Areas 2012; 0.62) | browse-feature:ttwa-2007 (Travel To Work Areas 2007; 0.50) | browse-source:map-source:eds-roi-1970 (District Electoral Divisions/Wards 1970 source files; 0.50),browse-feature:deas-2012; browse-feature:ttwa-2007; browse-source:map-source:eds-roi-1970,ni-district-electoral-areas;local-government-districts;habitat-protected-sites,ni-district-electoral-areas;local-government-districts;habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../mid-ulster-council-district-electoral-areas2,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,Match to DEA generation/year; local-election DEA rows must carry council context as parent geography.,"family already present; review as exact-or-variant, not automatically new"
7,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,1. CSO/NISRA census and statistical data,Open Data NI,spatial,NISRA Open Data Boundaries - Census Output Areas 2001,MAPINFO|SHP|XLSX,0.73,database-map:oa-2001 (Output Area 2001; 0.73) | database-map:sa-2011 (Small Area 2011; 0.73) | database-map:soa-2011 (Super Output Area 2011; 0.73),database-map:oa-2001; database-map:sa-2011; database-map:soa-2011,census-output-areas;habitat-protected-sites;census-statistics,census-output-areas;habitat-protected-sites;census-statistics,Metadata in repo; cleaned fact bundles in R2/CDN only after approval; raw provider files via IA/source pages.,.../nisra-open-data-boundaries-output-areas-2001,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,Match census small-area/OA/SOA generation exactly; concept facts should not be visible on approximate geography matches by default.,"family already present; review as exact-or-variant, not automatically new"
8,high-confidence enrichment candidate,enrich matched source/map after target check; treat geometry as variant only if materially different,Target check recommended before applying.,alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,1. CSO/NISRA census and statistical data,Open Data NI,spatial,NISRA Open Data Boundaries - Small Areas 2011,GEOJSON|MAPINFO|PDF|SHP|XLSX,0.80,database-map:sa-2011 (Small Area 2011; 0.80) | browse-source:map-source:sa-2011 (Small Area 2011 source files; 0.80) | browse-map:sa-2011 (Small Area 2011; 0.80),database-map:sa-2011; browse-source:map-source:sa-2011; browse-map:sa-2011,census-output-areas;habitat-protected-sites;source-documents-books,census-output-areas;habitat-protected-sites;source-documents-books,Metadata in repo; cleaned fact bundles in R2/CDN only after approval; raw provider files via IA/source pages.,.../nisra-open-data-boundaries-small-areas-2011,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,Match census small-area/OA/SOA generation exactly; concept facts should not be visible on approximate geography matches by default.,"family already present; review as exact-or-variant, not automatically new"
9,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; election geography/source provenance; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,4. Open Data NI boundary and statistical-geography files,Open Data NI,spatial,OSNI Open Data - 50K Boundaries - District Electoral Areas (1993),CSV|GEOJSON|KML|ZIP,0.50,database-map:deas-1993 (District Electoral Areas 1993; 0.50) | browse-source:map-source:wards-2022-final-recommendations (Wards - 2022 (Final Recommendations) source files; 0.50) | browse-source:map-source:deas-1993 (District Electoral Areas - 1993 source files; 0.50),database-map:deas-1993; browse-source:map-source:wards-2022-final-recommendations; browse-source:map-source:deas-1993,ni-district-electoral-areas;habitat-protected-sites,ni-district-electoral-areas;habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../osni-open-data-50k-boundaries-district-electoral-areas-1993,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,Match to DEA generation/year; local-election DEA rows must carry council context as parent geography.,"family already present; review as exact-or-variant, not automatically new"
10,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,4. Open Data NI boundary and statistical-geography files,Open Data NI,spatial,OSNI Open Data - 50K Boundaries - Local Government Districts (1993),CSV|GEOJSON|KML|ZIP,0.50,database-map:lgd-2022-final-recommendations (2022 (Final Recommendations); 0.50) | browse-source:map-source:lgd-2022-final-recommendations (Local Government Districts - 2022 (Final Recommendations) source files; 0.50) | browse-map:lgd-2022-final-recommendations (Local Government Districts - 2022 (Final Recommendations); 0.50),database-map:lgd-2022-final-recommendations; browse-source:map-source:lgd-2022-final-recommendations; browse-map:lgd-2022-final-recommendations,local-government-districts;habitat-protected-sites,local-government-districts;habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../osni-open-data-50k-boundaries-local-government-districts-1993,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
11,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; download/source-file metadata; election geography/source provenance; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,4. Open Data NI boundary and statistical-geography files,Open Data NI,spatial,OSNI Open Data - 50K Boundaries - Parliamentary Constituencies,CSV|GEOJSON|KML|ZIP,0.40,database-map:eoni-polling-stations (EONI Polling Stations; 0.40) | database-map:wq-agricultural-critical-risk (Agricultural Critical Risk Areas (DAERA); 0.40) | database-map:osni-sixinch-edition-2 (OSNI Historical Six-Inch Maps ? Edition 2 (1838?1862); 0.40),database-map:eoni-polling-stations; database-map:wq-agricultural-critical-risk; database-map:osni-sixinch-edition-2,uk-parliamentary-constituencies;habitat-protected-sites,uk-parliamentary-constituencies;habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../osni-open-data-50k-boundaries-parliamentary-constituencies,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
